500 1000
335 4 -45
135 95 -18
362 247 7
398 350 39
404 280 31
259 148 -6
279 123 11
110 184 -39
30 390 48
483 450 -36
63 102 -43
329 477 49
331 408 49
92 41 -22
142 492 -34
105 1 -34
131 489 -45
279 230 21
480 10 38
160 74 -27
123 289 35
408 384 12
342 329 40
398 317 -40
60 455 17
238 223 38
425 160 9
254 493 9
381 309 16
447 119 25
64 399 -1
312 375 26
401 8 13
365 128 43
133 123 -41
136 59 -11
203 342 23
294 403 -31
498 387 8
193 164 46
198 241 42
61 113 11
443 467 -41
427 101 18
94 289 27
461 150 -32
313 180 41
208 438 5
241 202 23
346 473 -8
110 294 -17
456 54 -6
96 144 -4
111 16 -9
54 180 48
217 446 -34
443 67 11
186 293 0
64 236 32
357 81 19
118 331 34
100 312 -10
42 36 -49
138 316 45
35 408 -17
206 68 29
297 155 -31
422 412 34
157 253 5
480 408 -31
15 222 -13
464 485 17
445 373 39
206 31 35
259 416 -17
125 442 43
432 53 33
101 457 -47
29 493 -27
419 210 -13
32 290 -28
187 290 44
110 424 35
73 319 15
246 127 -39
411 241 34
376 304 48
244 226 16
190 76 -37
168 148 -41
175 318 42
140 487 3
445 255 -15
16 76 -45
21 325 -22
246 174 20
423 106 27
238 207 15
228 398 5
300 290 17
336 287 31
186 215 -46
442 442 -47
76 291 -32
253 487 39
0 405 -45
13 450 -8
313 443 8
150 193 -50
23 87 4
271 424 -40
387 407 29
235 99 30
285 73 25
386 195 -38
96 105 45
402 322 39
57 315 48
49 477 4
181 386 4
138 221 15
368 76 8
