500 1000
303 159 41
188 327 32
287 379 39
338 79 41
13 185 48
3 370 50
111 313 4
450 403 35
439 147 23
420 375 32
62 263 44
299 16 19
280 153 9
110 43 47
56 468 29
470 258 27
405 12 23
57 75 7
178 469 46
154 463 42
277 203 24
75 22 22
460 24 47
424 496 11
206 484 30
448 344 25
312 32 17
73 246 45
224 302 49
180 126 16
184 111 4
363 340 20
231 180 49
134 53 27
247 482 38
412 436 37
26 85 43
256 19 37
408 267 21
94 412 12
43 81 50
305 190 26
94 215 3
26 7 19
456 306 32
192 474 38
353 381 14
352 281 44
193 66 24
19 382 38
427 205 15
42 57 17
76 405 37
207 0 5
395 421 25
288 400 29
5 130 32
200 333 31
194 220 4
241 90 15
143 417 40
202 348 22
45 254 48
363 206 23
402 108 33
483 386 10
140 162 32
406 286 40
312 119 38
434 357 18
131 130 17
393 263 24
50 81 40
445 463 41
310 159 27
445 303 14
408 327 11
181 178 30
98 338 35
14 240 10
294 464 30
341 203 1
482 423 5
49 367 41
447 336 19
449 48 18
436 331 8
245 114 36
283 26 7
38 308 38
230 132 16
415 372 33
138 380 25
28 202 45
73 127 33
318 278 5
128 76 30
231 53 48
56 127 5
201 381 0
426 412 6
459 149 0
7 262 7
232 311 20
361 129 33
84 356 36
174 285 0
400 424 35
355 237 38
484 438 39
63 8 11
81 28 10
422 274 22
364 205 23
69 177 24
413 452 22
329 252 2
451 384 41
375 433 29
153 344 48
99 168 5
133 266 47
218 172 30
148 108 31
295 121 18
374 318 19
54 60 0
16 154 39
410 468 16
392 227 27
286 226 43
346 462 13
251 279 25
304 251 8
45 472 22
2 247 25
75 495 7
411 352 1
66 25 46
496 446 46
429 363 19
218 399 10
383 235 1
207 410 30
326 414 44
356 57 18
76 316 27
439 471 7
490 216 42
133 284 19
259 233 15
110 466 49
328 253 36
56 68 4
116 205 24
421 137 0
406 230 7
404 1 26
398 480 49
169 199 20
356 48 39
438 183 47
257 394 7
370 116 47
470 202 31
189 472 8
130 406 45
431 88 32
498 13 43
62 13 1
14 50 11
456 81 28
442 164 13
58 228 42
263 7 18
380 198 32
478 485 16
37 333 18
117 217 45
316 85 23
333 228 34
425 498 12
50 164 23
373 289 15
467 457 3
337 15 10
329 352 44
379 451 30
220 346 32
191 416 34
197 309 4
446 12 8
422 191 7
462 246 6
244 446 21
419 279 21
349 190 12
58 407 24
115 345 12
410 477 6
329 163 21
345 303 11
465 78 26
190 355 43
168 92 34
205 11 18
312 234 27
35 122 38
201 85 2
289 171 31
276 405 21
10 24 29
222 445 13
226 498 21
292 175 31
177 50 21
328 77 49
255 393 44
213 35 46
275 430 31
281 345 19
24 49 3
498 358 39
140 456 43
107 38 29
57 283 7
433 39 43
391 236 41
253 91 5
427 356 23
485 123 19
101 67 30
142 172 50
218 125 50
434 23 33
450 168 44
249 185 3
88 203 25
313 357 4
233 341 15
143 15 3
49 123 27
62 284 16
63 214 3
276 434 32
280 143 50
110 476 40
392 358 25
318 287 32
44 144 43
407 327 41
70 132 35
396 282 40
211 37 39
444 66 14
355 224 49
130 99 40
336 370 7
480 492 22
190 277 40
235 108 43
498 298 25
46 404 32
63 201 32
448 476 26
39 143 15
424 256 12
170 180 20
175 192 36
194 446 30
165 76 21
74 401 21
198 459 32
294 46 20
284 333 12
60 450 33
292 206 18
478 235 23
161 310 39
302 495 17
393 288 34
162 84 17
420 176 50
18 160 3
184 296 43
341 160 13
442 373 40
1 128 49
384 462 4
205 474 13
54 48 3
295 290 5
295 195 39
53 21 16
404 123 49
190 14 34
116 165 22
11 435 39
32 385 17
128 417 6
197 377 38
393 123 36
196 334 25
26 141 39
194 138 5
323 31 4
345 1 3
62 203 14
265 390 36
173 427 18
155 420 43
302 306 50
29 497 3
389 396 8
118 349 36
493 331 17
361 390 41
442 62 33
350 17 15
114 213 9
392 263 44
151 478 20
72 234 48
92 111 12
468 224 36
232 398 46
397 426 0
284 231 33
152 322 23
44 425 25
338 5 45
315 64 20
164 314 46
159 360 40
29 301 34
211 68 3
102 86 11
130 465 16
50 320 18
6 130 15
38 491 32
65 297 6
431 295 29
393 88 1
432 424 7
67 129 49
149 112 21
26 53 26
460 62 32
451 58 41
334 30 23
328 315 45
349 391 0
57 383 21
330 485 42
174 51 37
368 393 20
399 72 42
258 298 38
85 312 46
99 361 49
357 148 49
209 270 19
232 499 41
497 179 20
463 65 31
67 6 11
163 32 31
77 417 3
208 103 1
470 284 35
31 446 40
432 199 28
175 62 30
32 106 24
432 250 1
42 441 17
24 7 8
5 0 41
207 77 6
162 77 25
67 43 50
374 317 29
139 128 33
232 250 35
237 17 47
87 122 8
342 428 41
159 185 10
239 175 10
248 481 21
107 224 18
436 286 22
125 235 50
379 15 30
140 494 11
385 134 24
149 425 30
35 99 38
240 354 16
270 369 40
134 222 17
46 385 43
28 84 43
161 10 21
109 352 18
348 321 7
464 400 27
64 421 9
453 79 18
467 292 42
94 307 12
79 191 1
127 478 2
84 81 22
476 4 10
459 72 30
240 344 31
44 58 28
464 264 17
120 461 38
470 269 27
70 485 37
125 222 20
217 284 27
400 11 46
270 145 45
284 108 29
238 23 28
21 106 38
249 368 3
137 312 25
330 192 34
247 205 3
226 151 46
379 463 35
308 42 45
316 88 44
91 91 21
156 278 41
26 229 44
343 238 30
476 313 27
21 100 50
286 360 26
346 258 39
14 335 10
28 232 18
289 49 13
476 426 13
269 384 25
209 360 48
194 329 46
473 236 28
406 356 29
320 485 32
243 233 5
72 291 3
296 279 1
242 215 46
217 180 8
155 429 8
59 414 22
218 288 29
60 50 10
13 28 2
349 429 49
17 302 42
334 397 34
341 435 3
320 165 9
317 295 0
246 184 11
455 345 16
71 9 8
290 88 41
240 119 16
483 164 48
475 363 46
211 472 28
166 444 22
45 16 31
37 300 24
384 358 10
182 424 47
355 291 2
243 232 2
47 283 10
206 139 37
349 7 16
412 207 11
